Species,Difficulty,Filename,ExtraInfo,PhotoLocation,PhotoDate
Orchard Oriole,3,DSCN9858orchard.jpg,male,KY,5/26/2014
Bullock's Oriole,3,DSCN0280oriole.jpg,male,"Pinehurst, ID",7/6/2014
Baltimore Oriole,2,DSCN9063oriole.jpg,male,"Barrington Hills, IL",5/28/2013
Cassin's Finch,3,cassinsfinchDSCN3693.jpg,male and female,"Spirit Lake, ID",8/1/2013
House Finch,1,DSCN1279.jpg,male,"Barrington, IL",1/12/2013
House Finch,1,DSCN0448crop female house finch.jpg,female,"Barrington, IL",12/29/2012
Red Crossbill,3,DSCN4769.jpg,male,ID,8/7/2013
Red Crossbill,3,DSCN4637.jpg,female,ID,8/7/2013
Lesser Goldfinch,3,DSCN4992.jpg,,"Austin, TX",8/10/2013
American Goldfinch,1,DSCN4634.JPG,"male, winter",KY,3/15/2013
American Goldfinch,1,DSCN7690.jpg,"male, summer","Barrington, IL",5/13/2013
Evening Grosbeak,3,grosbeakDSCN4824.jpg,,"Spirit Lake, ID",8/8/2013
House Sparrow,1,DSCN3242.JPG,male,"Oregon, IL",2/17/2013
House Sparrow,1,DSCN3025 female house sparrow.jpg,female,KY,2/9/2013
Eurasian Tree Sparrow,3,DSCN6790eurasian.jpg,,"Davenport, IA",4/26/2013
American Bittern,1,AmericanBittern_PublicDomain.jpg,,"near Stafford, KS",Unknown
